from,to,kommentar,tonalität,zeit,folge,thema
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
RBH,GL,6,2,238,2,12
CD,GL,6,2,238,2,12
LINKE,GL,1,1,238,2,12
CD,GL,6,2,238,2,12
CDU,WS,1,1,238,2,7
SPD,WS,1,1,238,2,7
FDP,WS,1,1,238,2,7
GRUENE,WS,1,1,238,2,7
AFD,WS,1,1,238,2,7
CDU,WS,1,1,238,2,7
SPD,WS,1,1,238,2,7
CDU,AM,1,1,238,2,7
SPD,AM,1,1,238,2,7
FDP,AM,1,1,238,2,7
GRUENE,AM,1,1,238,2,7
AFD,AM,1,1,238,2,7
LINKE,AM,1,1,238,2,7
CDU,AM,1,1,238,2,7
SPD,AM,1,1,238,2,7
CDU,AM,1,1,238,2,7
SPD,AM,1,1,238,2,7
CDU,AM,1,1,238,2,7
SPD,AM,1,1,238,2,7
FDP,AM,1,1,238,2,7
GRUENE,AM,1,1,238,2,7
HH,AM,6,2,238,2,7
VM,AM,6,2,238,2,7
APH,AM,6,3,238,2,7
LINKE,AM,2,3,238,2,7
APH,AM,6,2,238,2,7
HH,AM,6,3,238,2,3
HH,AM,6,2,238,2,7
LINKE,AM,2,1,238,2,7
CDU,AM,1,1,238,2,7
SPD,AM,1,1,238,2,7
AFD,AG,1,1,238,2,7
CDU,AG,2,2,238,2,7
MRA,AG,6,2,238,2,7
CDU,AG,2,2,238,2,7
SPD,AG,2,2,238,2,7
AFD,AG,1,1,238,2,7
CR,AG,2,2,238,2,7
AFD,AG,1,1,238,2,7
AFD,AG,1,1,238,2,7
CR,AG,2,2,238,2,7
AFD,AG,1,1,238,2,7
UN,AG,2,2,238,2,7
MRA,AG,2,2,238,2,7
AFD,AG,1,1,238,2,7
AFD,AG,1,1,238,2,7
AFD,AG,1,1,238,2,7
UW,AG,1,1,238,2,7
AFD,AG,1,1,238,2,7
CR,AG,6,2,238,2,7
AFD,AG,1,1,238,2,7
SPD,AG,2,2,238,2,7
GRUENE,AG,2,2,238,2,7
BB,RM,6,2,238,2,7
BB,RM,6,2,238,2,7
BB,RM,6,2,238,2,7
AFD,RM,2,2,238,2,7
SPD,RM,1,1,238,2,7
MASZ,RM,6,99,238,2,7
SPD,RM,1,1,238,2,7
SPD,RM,1,1,238,2,7
SPD,RM,1,1,238,2,7
SPD,RM,1,1,238,2,7
CDU,RM,1,1,238,2,7
FDP,RM,1,1,238,2,7
GRUENE,RM,1,1,238,2,7
AFD,RM,7,2,238,2,14
SPD,RM,1,1,238,2,7
